Termo financeiro,Explicação desse termo,Exemplo de Uso,Termos Relacionados
SAC (Sistema de Amortização Constante),"Sistema de financiamento onde o valor da amortização do principal é fixo em todas as parcelas. Como os juros incidem sobre o saldo devedor decrescente, o valor total das prestações diminui ao longo do tempo.","Financiei a minha casa pelo sistema SAC; no início as prestações eram mais altas, mas agora, próximo do fim do contrato, estão bem mais reduzidas.","Amortização, Financiamento, Juros, Tabela Price, Saldo devedor"
Tabela Price,"Método de amortização onde as prestações são iguais e fixas durante todo o contrato. Inicialmente, a maior parte da prestação é composta por juros, aumentando a fatia da amortização ao longo do tempo.",Optei por financiar o imóvel pela Tabela Price para manter parcelas fixas que permitem um planeamento financeiro mensal mais previsível.,"Amortização, Financiamento, Juros, SAC, Saldo devedor"
Intermediação Financeira,Processo de transferência de recursos realizado por instituições financeiras entre agentes superavitários (poupadores) e agentes deficitários (tomadores de crédito).,O banco realiza a intermediação financeira ao utilizar o capital depositado em poupanças para oferecer crédito consignado a reformados.,"Agentes superavitários, Agentes deficitários, SFN, Mercado de Crédito"
Crédito malparado,Refere-se a empréstimos em que o devedor está em incumprimento ou apresenta dificuldades severas em cumprir os pagamentos de juros ou capital.,O aumento do crédito malparado pode levar as instituições financeiras a serem mais rigorosas na análise de risco e a exigir garantias adicionais.,"Dívida vencida, Incumprimento, Ativos financeiros"
Arrendamento Mercantil (Leasing),"Operação financeira onde uma instituição (locadora) aluga um bem ao cliente (locatário), com a opção de este o adquirir definitivamente ao final do contrato.","Uma transportadora utiliza o leasing para adquirir uma frota de camiões, pagando mensalidades pelo uso com opção de compra no final do prazo.","Instituições não monetárias, Sociedade de arrendamento mercantil"
Alavancagem,"Técnica que utiliza recursos de terceiros (empréstimos ou dívida) para aumentar a capacidade de investimento e o potencial de retorno, operando com valores superiores ao capital próprio.","Um investidor utiliza a alavancagem para operar dez vezes o valor que possui em conta na bolsa, aumentando o risco e a potencial rentabilidade.","Empréstimos, Renda Variável, Endividamento"
CDB (Certificado de Depósito Bancário),"Título de renda fixa emitido por bancos para captar recursos. O investidor ""empresta"" dinheiro ao banco em troca de uma remuneração por juros após um determinado período.","Ao contratar um CDB, o cliente disponibiliza capital para o banco financiar as suas atividades de crédito em troca de rendimento futuro.","Renda Fixa, Captação de Recursos, Investimentos"
Hedge,Estratégia de proteção que utiliza instrumentos financeiros para mitigar o risco de variações negativas de preços em ativos ou moedas.,Uma empresa exportadora faz um hedge cambial para garantir uma taxa de câmbio fixa e proteger o seu lucro caso o valor do euro desça.,"Proteção de Ativos, Risco de Mercado, Estratégias Financeiras"
Conselho Monetário Nacional (CMN),"Órgão deliberativo máximo do Sistema Financeiro Nacional (SFN), responsável por formular a política económica e as diretrizes gerais de crédito.",O CMN define as normas e limites que os bancos devem seguir para a concessão de crédito em território nacional.,"Subsistema normativo, política creditícia, Banco Central do Brasil"
Sociedade de Crédito Direto,"Instituição financeira (frequentemente fintechs) que realiza operações de crédito exclusivamente através de plataformas eletrónicas, utilizando capital próprio.",Uma fintech opera como Sociedade de Crédito Direto para oferecer empréstimos rápidos e desburocratizados através de uma aplicação.,"Fintechs, Instituições não bancárias, Mercado de crédito"
